step,phase,elapsed_s,loss_total,loss_recon,loss_smooth,loss_power,loss_osnr,lr
10,train_batch,14.1,1.018292,0.981927,0.001094,0.563749,0.403411,0.000010
20,train_batch,25.0,1.024056,0.987119,0.001117,0.571882,0.411590,0.000020
step,phase,elapsed_s,loss_total,loss_recon,loss_smooth,loss_power,loss_osnr,lr
10,train_batch,13.2,1.018292,0.981927,0.001094,0.563749,0.403411,0.000010
20,train_batch,19.1,1.024056,0.987119,0.001117,0.571882,0.411590,0.000020
30,train_batch,27.6,1.023117,0.986012,0.001491,0.574466,0.411653,0.000031
40,train_batch,33.5,1.008567,0.971681,0.005992,0.562368,0.408443,0.000041
50,train_batch,42.1,0.948656,0.911616,0.042767,0.498634,0.391566,0.000051
60,train_batch,48.0,0.864440,0.828933,0.069729,0.423720,0.367427,0.000061
70,train_batch,60.7,0.782408,0.749555,0.077392,0.365905,0.340957,0.000071
80,train_batch,71.5,0.711542,0.681092,0.080217,0.322279,0.315721,0.000082
90,train_batch,85.9,0.650681,0.622454,0.079301,0.288983,0.292422,0.000092
100,train_batch,97.1,0.597555,0.571230,0.077966,0.262040,0.271328,0.000102
110,train_batch,113.7,0.551767,0.527117,0.076138,0.239587,0.252847,0.000112
120,train_batch,124.7,0.512601,0.489458,0.073641,0.220916,0.236658,0.000122
130,train_batch,140.1,0.478674,0.456881,0.071036,0.204807,0.222458,0.000133
140,train_batch,151.1,0.449094,0.428498,0.068488,0.190919,0.210076,0.000143
150,train_batch,167.4,0.423077,0.403555,0.066024,0.178805,0.198987,0.000153
160,train_batch,178.3,0.400104,0.381539,0.063712,0.168229,0.189133,0.000163
170,train_batch,194.5,0.380001,0.362272,0.061529,0.159259,0.180647,0.000173
180,train_batch,205.4,0.361604,0.344653,0.059506,0.150935,0.172642,0.000184
190,train_batch,221.5,0.344957,0.328720,0.057595,0.143417,0.165317,0.000194
1,train_epoch,236.9,0.335930,0.320076,0.056498,0.139498,0.161452
1,val_epoch,236.9,0.024940,0.024134,0.001374,0.006342,0.017579,0.155225
200,train_batch,242.5,0.043410,0.040169,0.021296,0.008920,0.033285,0.000204
210,train_batch,250.9,0.039626,0.036628,0.020299,0.007131,0.030533,0.000214
220,train_batch,256.9,0.037053,0.034231,0.019409,0.006321,0.028240,0.000224
230,train_batch,267.6,0.037273,0.034451,0.018758,0.007544,0.028429,0.000235
240,train_batch,278.2,0.036726,0.033960,0.018227,0.007622,0.028110,0.000245
250,train_batch,291.2,0.035789,0.033104,0.017692,0.007371,0.027328,0.000255
260,train_batch,302.0,0.034799,0.032197,0.017140,0.007104,0.026599,0.000265
270,train_batch,318.4,0.034079,0.031540,0.016610,0.007175,0.025971,0.000276
280,train_batch,329.6,0.033104,0.030637,0.016151,0.006933,0.025271,0.000286
290,train_batch,345.9,0.032552,0.030131,0.015722,0.007040,0.024807,0.000296
300,train_batch,357.0,0.032116,0.029737,0.015299,0.007202,0.024496,0.000306
310,train_batch,373.1,0.031214,0.028899,0.014914,0.006946,0.023835,0.000316
320,train_batch,384.1,0.030490,0.028226,0.014560,0.006842,0.023326,0.000327
330,train_batch,400.3,0.030015,0.027787,0.014208,0.006934,0.023003,0.000337
340,train_batch,411.3,0.029346,0.027169,0.013860,0.006815,0.022524,0.000347
350,train_batch,427.4,0.028961,0.026815,0.013553,0.006914,0.022254,0.000357
360,train_batch,438.3,0.028516,0.026405,0.013254,0.006968,0.021891,0.000367
370,train_batch,453.7,0.027965,0.025895,0.012964,0.006875,0.021466,0.000378
380,train_batch,464.1,0.027541,0.025502,0.012705,0.006905,0.021155,0.000388
390,train_batch,479.2,0.027087,0.025083,0.012437,0.006861,0.020835,0.000398
2,train_epoch,488.8,0.027000,0.025003,0.012384,0.006858,0.020781
2,val_epoch,488.8,0.004556,0.004373,0.000464,0.001234,0.003739,0.066129
400,train_batch,500.7,0.016122,0.014879,0.007488,0.004947,0.012344,0.000408
410,train_batch,515.9,0.015873,0.014654,0.007290,0.005031,0.011912,0.000418
420,train_batch,526.4,0.016095,0.014880,0.007044,0.005407,0.012002,0.000429
430,train_batch,541.6,0.015697,0.014520,0.006888,0.005112,0.011671,0.000439
440,train_batch,552.1,0.015566,0.014405,0.006787,0.004988,0.011640,0.000449
450,train_batch,567.5,0.015638,0.014484,0.006627,0.005180,0.011614,0.000459
460,train_batch,577.9,0.015644,0.014497,0.006498,0.005276,0.011687,0.000469
470,train_batch,593.2,0.015439,0.014311,0.006383,0.005187,0.011551,0.000480
480,train_batch,603.7,0.015454,0.014327,0.006282,0.005333,0.011618,0.000490
490,train_batch,619.0,0.015503,0.014378,0.006184,0.005474,0.011670,0.000500
500,train_batch,629.4,0.015767,0.014632,0.006077,0.005834,0.011792,0.000510
510,train_batch,644.5,0.015779,0.014648,0.005975,0.005922,0.011845,0.000520
520,train_batch,654.8,0.015663,0.014542,0.005889,0.005923,0.011819,0.000531
530,train_batch,670.1,0.015554,0.014442,0.005812,0.005888,0.011822,0.000541
540,train_batch,680.5,0.015434,0.014334,0.005730,0.005850,0.011736,0.000551
550,train_batch,695.7,0.015413,0.014319,0.005645,0.005888,0.011754,0.000561
560,train_batch,706.1,0.015238,0.014159,0.005561,0.005790,0.011674,0.000571
